window,scenario,drift_score,avg_accuracy,accuracy_drop
1,concept_education,0.5129677285535241,0.7961010543067436,0.048895961806246335
1,covariate_age,0.9118577658716138,0.825542072806843,0.019454943306146943
1,label_income,0.6178220245283385,0.7323453351899741,0.1126516809230158
1,no_drift,0.5129677285535241,0.8374776208474239,0.007519395265565998
2,concept_education,0.507978873004238,0.7955042769047145,0.04949273920827546
2,covariate_age,0.9091577853831916,0.8321066242291626,0.012890391883827346
2,label_income,0.6273260085815786,0.7286652078774617,0.11633180823552824
2,no_drift,0.507978873004238,0.8456335786751541,-0.0006365625621641557
3,concept_education,0.5151260869794495,0.7979908494131689,0.04700616669982105
3,covariate_age,0.905697556482502,0.8352894370399842,0.00970757907300579
3,label_income,0.6190797302831992,0.7437835687288641,0.10121344738412585
3,no_drift,0.5151260869794495,0.8471255221802267,-0.0021285060672368017
4,concept_education,0.5166241718565706,0.7953053511040382,0.049691665008951724
4,covariate_age,0.906576456381077,0.833001790332206,0.011995225780783936
4,label_income,0.6165458618756076,0.7235925999602149,0.12140441615277509
4,no_drift,0.5166241718565706,0.8448378754724488,0.0001591406405411222
5,concept_education,0.5215829250843305,0.7999801074199324,0.04501690869305752
5,covariate_age,0.9115385054834566,0.8341953451362641,0.010801670976725797
5,label_income,0.6267327511500405,0.7258802466679928,0.11911676944499716
5,no_drift,0.5215829250843305,0.8499104833896957,-0.004913467276705719
