window,scenario,model,accuracy,precision,recall,f1,roc_auc
1,no_drift,Logistic Regression,0.8358862144420132,0.7318982387475538,0.5758275596612779,0.6445497630331753,0.8974836619122668
1,no_drift,Random Forest,0.8390690272528347,0.715669014084507,0.625866050808314,0.6677618069815195,0.8962752381329977
1,covariate_age,Logistic Regression,0.8321066242291625,0.6671565025716385,0.6989992301770592,0.6827067669172933,0.8974851073952563
1,covariate_age,Random Forest,0.8189775213845236,0.6666666666666666,0.5989222478829869,0.6309813463098135,0.8709197112668379
1,label_income,Logistic Regression,0.7157350308334991,0.9259259259259259,0.571949602122016,0.7071121131379381,0.9014242950245798
1,label_income,Random Forest,0.7489556395464492,0.9224470134874759,0.6349469496021221,0.7521602513747054,0.9029015810917936
1,concept_education,Logistic Regression,0.7939128704993038,0.662426614481409,0.49488304093567254,0.5665271966527197,0.84003944052077
1,concept_education,Random Forest,0.7982892381141834,0.6558098591549296,0.5445906432748538,0.5950479233226837,0.8374759664945364
2,no_drift,Logistic Regression,0.8494131688880048,0.7423625254582484,0.5912408759124088,0.6582392776523702,0.9028070103433048
2,no_drift,Random Forest,0.8418539884623035,0.7005494505494505,0.6204379562043796,0.6580645161290323,0.8891629375105012
2,covariate_age,Logistic Regression,0.8414561368609509,0.665402124430956,0.7112733171127331,0.6875735005880047,0.9027725939407466
2,covariate_age,Random Forest,0.8227571115973742,0.6532258064516129,0.5912408759124088,0.6206896551724138,0.8695187603596577
2,label_income,Logistic Regression,0.7159339566341755,0.93058568329718,0.5689655172413793,0.7061728395061728,0.9014998080847119
2,label_income,Random Forest,0.7413964591207479,0.9177215189873418,0.625,0.7435897435897436,0.8886262327754381
2,concept_education,Logistic Regression,0.7961010543067436,0.6486761710794298,0.48367501898253606,0.5541539799913006,0.8342498163145433
2,concept_education,Random Forest,0.7949074995026855,0.6309523809523809,0.5231586940015186,0.5720215857202159,0.8243004091222599
3,no_drift,Logistic Regression,0.8488163914859758,0.7606490872210954,0.5886970172684458,0.6637168141592921,0.9031751051278287
3,no_drift,Random Forest,0.8454346528744778,0.727355901189387,0.6240188383045526,0.6717363751584284,0.8961570670203763
3,covariate_age,Logistic Regression,0.8428486174656853,0.6841704718417048,0.7056514913657771,0.6947449768160742,0.9031108969444015
3,covariate_age,Random Forest,0.8277302566142829,0.6851179673321234,0.5926216640502355,0.6355218855218855,0.8793610846539932
3,label_income,Logistic Regression,0.7384125721106027,0.9418181818181818,0.6011273209549072,0.733859542602712,0.9043229743044554
3,label_income,Random Forest,0.7491545653471255,0.925764192139738,0.6326259946949602,0.751624975379161,0.8975814551795365
3,concept_education,Logistic Regression,0.8004774219216232,0.6683569979716024,0.4936329588014981,0.5678586816027574,0.8368501994392167
3,concept_education,Random Forest,0.7955042769047146,0.6404391582799634,0.5243445692883895,0.5766062602965404,0.8285805730377656
4,no_drift,Logistic Regression,0.8444400238710961,0.7315842583249244,0.5842062852538276,0.649641577060932,0.9033580607633281
4,no_drift,Random Forest,0.8452357270738015,0.7177798682972719,0.6148267526188558,0.6623263888888888,0.8965172591842462
4,covariate_age,Logistic Regression,0.8384722498508056,0.6646201074443592,0.6978243352135375,0.6808176100628931,0.9032814393586278
4,covariate_age,Random Forest,0.8275313308136065,0.67,0.5938759065269944,0.6296454506621102,0.8798320969618335
4,label_income,Logistic Regression,0.7145414760294411,0.9162717219589257,0.5769230769230769,0.7080366225839267,0.8982858865101359
4,label_income,Random Forest,0.7326437238909886,0.9159203980099503,0.6104111405835544,0.7325905292479109,0.8936757977015011
4,concept_education,Logistic Regression,0.7939128704993038,0.6468213925327951,0.48304446119065564,0.5530629853321829,0.8321686796065093
4,concept_education,Random Forest,0.7966978317087726,0.6434619002822202,0.5154483798040693,0.5723849372384937,0.8259981873357909
5,no_drift,Logistic Regression,0.8510045752934156,0.7451181911613566,0.5913539967373572,0.6593906321055025,0.903104188689076
5,no_drift,Random Forest,0.8488163914859758,0.7223282442748091,0.6174551386623165,0.6657871591908531,0.8946398582325505
5,covariate_age,Logistic Regression,0.8410582852595981,0.6643571978444958,0.7039151712887439,0.6835643564356436,0.9031739307892273
5,covariate_age,Random Forest,0.8273324050129301,0.6663568773234201,0.5848287112561175,0.6229365768896612,0.8761203263672778
5,label_income,Logistic Regression,0.7179232146409389,0.9218585005279831,0.5789124668435013,0.7112016293279022,0.8973315860908241
5,label_income,Random Forest,0.7338372786950468,0.9182452642073778,0.6107427055702918,0.7335722819593787,0.8895375830808536
5,concept_education,Logistic Regression,0.7996817187189178,0.644398766700925,0.48680124223602483,0.5546218487394958,0.8331200091697551
5,concept_education,Random Forest,0.8002784961209469,0.6354961832061069,0.5170807453416149,0.5702054794520548,0.8238931507577506
6,no_drift,Logistic Regression,0.878,0.7902439024390244,0.6721991701244814,0.726457399103139,0.9258524264838535
6,no_drift,Random Forest,0.891,0.7972972972972973,0.7344398340248963,0.7645788336933045,0.9266724615813559
6,covariate_age,Logistic Regression,0.861,0.6917293233082706,0.7634854771784232,0.7258382642998028,0.9258961616890538
6,covariate_age,Random Forest,0.866,0.7336244541484717,0.6970954356846473,0.7148936170212766,0.9042581689162963
6,label_income,Logistic Regression,0.77,0.9447115384615384,0.655,0.7736220472440944,0.91885
6,label_income,Random Forest,0.795,0.941834451901566,0.7016666666666667,0.8042024832855779,0.9131354166666666
6,concept_education,Logistic Regression,0.82,0.7268292682926829,0.5457875457875457,0.6234309623430963,0.8507892840767669
6,concept_education,Random Forest,0.829,0.7297297297297297,0.5934065934065934,0.6545454545454545,0.8531725037914858
